Handler,Title,Description,Details,Category,Collection,Brand,Published,Product Series,Colour,Colour(Tag),SEO Title,SEO Description,SEO Keywords,Image URL,Shippable,Track Inventory,Variant SKU,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,Option 3 Name,Option 3 Value,Option 4 Name,Option 4 Value,Option 5 Name,Option 5 Value,Cost Price,List Price,Sell Price,Weight,Warehouse Quantity,Warehouse Rack
TG-FRAME-001,Navy Blue Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-001-01,Batik Frame,415mm(L) x 340mm(W) x 32mm(D),,,,,,,,,,,55,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-001-02,Batik Frame,460mm(L) x 390mm(W) x 32mm(D) (+S$10.00),,,,,,,,,,,65,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-001-03,Batik Frame,615mm(L) x 510mm(W) x 32mm(D) (+S$30.00),,,,,,,,,,,85,0,100,
TG-FRAME-004,Bright Blue Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-004-01,Batik Frame,415mm(L) x 340mm(W) x 32mm(D),,,,,,,,,,,55,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-004-02,Batik Frame,460mm(L) x 390mm(W) x 32mm(D) (+S$10.00),,,,,,,,,,,65,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-004-03,Batik Frame,615mm(L) x 510mm(W) x 32mm(D) (+S$30.00),,,,,,,,,,,85,0,100,
TG-FRAME-003,Yellow Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-003-01,Batik Frame,415mm(L) x 340mm(W) x 32mm(D),,,,,,,,,,,55,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-003-02,Batik Frame,460mm(L) x 390mm(W) x 32mm(D) (+S$10.00),,,,,,,,,,,65,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-003-03,Batik Frame,615mm(L) x 510mm(W) x 32mm(D) (+S$30.00),,,,,,,,,,,85,0,100,
TG-FRAME-002,Red Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-002-01,Batik Frame,415mm(L) x 340mm(W) x 32mm(D),,,,,,,,,,,55,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-002-02,Batik Frame,460mm(L) x 390mm(W) x 32mm(D) (+S$10.00),,,,,,,,,,,65,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-002-03,Batik Frame,615mm(L) x 510mm(W) x 32mm(D) (+S$30.00),,,,,,,,,,,85,0,100,
TG-FRAME-005,Green Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-005-01,Batik Frame,415mm(L) x 340mm(W) x 32mm(D),,,,,,,,,,,55,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-005-02,Batik Frame,460mm(L) x 390mm(W) x 32mm(D) (+S$10.00),,,,,,,,,,,65,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-005-03,Batik Frame,615mm(L) x 510mm(W) x 32mm(D) (+S$30.00),,,,,,,,,,,85,0,100,
TG-FRAME-006,Black Batik Frame,,,Memorabilia > Picture Frames,,,Yes,,,,,,,,Yes,Yes,TG-FRAME-006-01,Batik Frame,415mm(L) x 340mm(W) x 32mm(D),,,,,,,,,,,55,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-006-02,Batik Frame,460mm(L) x 390mm(W) x 32mm(D) (+S$10.00),,,,,,,,,,,65,0,100,
,,,,,,,,,,,,,,,,,TG-FRAME-006-03,Batik Frame,615mm(L) x 510mm(W) x 32mm(D) (+S$30.00),,,,,,,,,,,85,0,100,
TG-APRON-010,Batik Print Apron,,,Lifestyle > Apron,,,Yes,,,,,,,,Yes,Yes,TG-APRON-010-01,Apron Colors,Red,,,,,,,,,,,29,0,100,
,,,,,,,,,,,,,,,,,TG-APRON-010-02,Apron Colors,Cyan Blue,,,,,,,,,,,29,0,100,
,,,,,,,,,,,,,,,,,TG-APRON-010-03,Apron Colors,Black,,,,,,,,,,,29,0,100,
,,,,,,,,,,,,,,,,,TG-APRON-010-04,Apron Colors,Yellow,,,,,,,,,,,29,0,100,
,,,,,,,,,,,,,,,,,TG-APRON-010-05,Apron Colors,Navy Blue,,,,,,,,,,,29,0,100,
,,,,,,,,,,,,,,,,,TG-APRON-010-06,Apron Colors,Dark Green,,,,,,,,,,,29,0,100,
,,,,,,,,,,,,,,,,,TG-APRON-010-07,Apron Colors,White,,,,,,,,,,,29,0,100,
TG-DRAWSTRING-001,Batik Drawstring Bag,"<p>Dimensions: 180mm(L) x 135mm(W)</p><p>(Due to the product is handmade, size may vary slightly.)<br></p>",,Fashion > Pouch/Purse,,,Yes,,,,,,,,Yes,Yes,TG-DRAWSTRING-001-01,Batik Prints,Navy Blue,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-02,Batik Prints,Dark Green,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-03,Batik Prints,Red,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-04,Batik Prints,Yellow,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-05,Batik Prints,Cyan Blue,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-06,Batik Prints,White,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-07,Batik Prints,Purple,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-DRAWSTRING-001-08,Batik Prints,Black,,,,,,,,,,,9,0,100,
TG-HANDKERCHIEF-001,Batik Handkerchief,<p>Dimensions: 500mm(L) x 500mm(W)<br></p>,,Accessories > Handkerchief,,,Yes,,,,,,,,Yes,Yes,TG-HANDKERCHIEF-001-01,Batik Prints,Navy Blue,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-02,Batik Prints,Dark Green,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-03,Batik Prints,Red,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-04,Batik Prints,Yellow,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-05,Batik Prints,Cyan Blue,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-06,Batik Prints,White,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-07,Batik Prints,Purple,,,,,,,,,,,9,0,100,
,,,,,,,,,,,,,,,,,TG-HANDKERCHIEF-001-08,Batik Prints,Black,,,,,,,,,,,9,0,100,
